"Kettering University",,,,,,,,,,,,
"Spring 2025, IME 361 Lean Work Design Section 1",,,,,,,,,,,,
"Instructor: Maier, Torsten (Primary)",,,,,,,,,,,,
"There were: 13 possible respondents.",,,,,,,,,,,,
Order,Question Text,N,Avg,SD,MaierSpring 25,IME Avg,Div Avg,Str Agree,Agree,Neutral,Disagree,Str Disagree
,Course organized to help learning,4,5,0,4.5,4.4,4.2,100%,0%,0%,0%,0%
,Course developed abilities/skills for subject,4,5,0,4.6,4.4,4.3,100%,0%,0%,0%,0%
,Course developed ability to think critically,4,5,0,4.7,4.4,4.2,100%,0%,0%,0%,0%
,Material organized around learning outcomes,4,5,0,4.5,4.4,4.2,100%,0%,0%,0%,0%
,Course improved problem-solving skills,4,5,0,4.6,4.4,4.2,100%,0%,0%,0%,0%
,,,,,,,,Sat- isfied,SW Satisfied,Neutral,SW Unsatisfied,Unsatis- fied
,Satisfaction with effort in course,4,4.8,0.5,4.5,4.5,4.3,75%,25%,0%,0%,0%
,,,,,,,,Str Agree,Agree,Neutral,Disagree,Str Disagree
,Instructor presented organized content,4,5,0,4.7,4.4,4.3,100%,0%,0%,0%,0%
,Instructor increased understanding of material,4,5,0,4.7,4.4,4.3,100%,0%,0%,0%,0%
,Instructor helpful to student individually,4,5,0,4.9,4.4,4.2,100%,0%,0%,0%,0%
,Instructor provided meaningful feedback,4,5,0,4.7,4.3,4.2,100%,0%,0%,0%,0%
,Instructor provided timely feedback,4,5,0,4.9,4.4,4.3,100%,0%,0%,0%,0%
,Instructor encouraged participation,4,5,0,4.9,4.5,4.4,100%,0%,0%,0%,0%
,Instructor conduct professional,4,5,0,4.8,4.6,4.5,100%,0%,0%,0%,0%
,,,,,,,,Effect,SW Effective,Neutral,SW Ineffective,Ineffect- ive
,Overall effectiveness of instructor's teaching technique,4,5,0,4.7,4.4,4.2,100%,0%,0%,0%,0%
,Overall demonstration of the significance of subject matter,4,5,0,4.8,4.5,4.4,100%,0%,0%,0%,0%
,,,,,,,,H Success,Success,Neutral,Unsuccess,H Unsuccess
,Instructor created an environment conducive to learning,4,5,0,4.7,4.5,4.3,100%,0%,0%,0%,0%
,,,,,,,,,,,,
Text Responses,,,,,,,,,,,,
Question: Comments:,,,,,,,,,,,,
N/A,,,,,,,,,,,,
"Question: On average, how many hours per week have you spent on this course or section, including attending classes, doing readings, reviewing notes, writing papers, and any other course-related work?",,,,,,,,,,,,
8,,,,,,,,,,,,
1-2,,,,,,,,,,,,
4,,,,,,,,,,,,
10,,,,,,,,,,,,
Question: Please identify what you consider to be the strengths of the course (or section).,,,,,,,,,,,,
Information taught during the course can be applied to my current co-op position and many other roles in manufacturing,,,,,,,,,,,,
"Homeworks, Presentations are brief, clear, and easy to understand, and how interactive the class is",,,,,,,,,,,,
"Dr. Maier is well prepared, has plenty of examples, breaks the material down in a very digestible way. He excels at explaining and demonstrating how to integrate the material we learn into our jobs/ life",,,,,,,,,,,,
Question: Please identify area(s) where you think the course (or section) could be improved.,,,,,,,,,,,,
I think that time studies should be taught earlier. I learned a lot from those and would have made big changes to the line had there been more time before the line was frozen. ,,,,,,,,,,,,
N/A,,,,,,,,,,,,
Maybe providing more insightful feedback for homeworks that are not correct.,,,,,,,,,,,,
"I think allowing people to choose their teams would alleviate a lot of stress. Additionally, maybe, lowering the amount of homeworks in addition to our lab work",,,,,,,,,,,,
Question: Feedback for other students: What advice would you give to another student who is considering taking this course (or section)?,,,,,,,,,,,,
Do as much as you can in the first few weeks.,,,,,,,,,,,,
N/A,,,,,,,,,,,,
"Even if it's not a required class, I learned more about lean and IE tools in this class than in other classes where I'm supposed to learn it. I would take the class again if i could",,,,,,,,,,,,
Question: Comments about whether or not to recommend this course,,,,,,,,,,,,
"Even if it's not a required class, I learned more about lean and IE tools in this class than in other classes where I'm supposed to learn it. I would take the class again if i could",,,,,,,,,,,,
Question: Comments:,,,,,,,,,,,,
Loved the class and the professor.,,,,,,,,,,,,
"Again, Dr, Maier is by far one of the best professors I have had here at Kettering. He excels at teaching the material in a way that sticks with his students for life. He is teaching is very applicable as well.",,,,,,,,,,,,
