"Kettering University",,,,,,,,,,,,
"Spring 2025, IME 361 Lean Work Design Lab Section 2L",,,,,,,,,,,,
"Instructor: Maier, Torsten (Primary)",,,,,,,,,,,,
"There were: 13 possible respondents.",,,,,,,,,,,,
Order,Question Text,N,Avg,SD,MaierSpring 25,IME Avg,Div Avg,Str Agree,Agree,Neutral,Disagree,Str Disagree
,Course organized to help learning,5,5,0,4.5,4.4,4.2,100%,0%,0%,0%,0%
,Course developed abilities/skills for subject,5,5,0,4.6,4.4,4.3,100%,0%,0%,0%,0%
,Course developed ability to think critically,5,5,0,4.7,4.4,4.2,100%,0%,0%,0%,0%
,Material organized around learning outcomes,5,5,0,4.5,4.4,4.2,100%,0%,0%,0%,0%
,Course improved problem-solving skills,5,5,0,4.6,4.4,4.2,100%,0%,0%,0%,0%
,,,,,,,,Sat- isfied,SW Satisfied,Neutral,SW Unsatisfied,Unsatis- fied
,Satisfaction with effort in course,5,5,0,4.5,4.5,4.3,100%,0%,0%,0%,0%
,,,,,,,,Str Agree,Agree,Neutral,Disagree,Str Disagree
,Instructor presented organized content,5,5,0,4.7,4.4,4.3,100%,0%,0%,0%,0%
,Instructor increased understanding of material,5,5,0,4.7,4.4,4.3,100%,0%,0%,0%,0%
,Instructor helpful to student individually,5,5,0,4.9,4.4,4.2,100%,0%,0%,0%,0%
,Instructor provided meaningful feedback,5,5,0,4.7,4.3,4.2,100%,0%,0%,0%,0%
,Instructor provided timely feedback,5,5,0,4.9,4.4,4.3,100%,0%,0%,0%,0%
,Instructor encouraged participation,5,5,0,4.9,4.5,4.4,100%,0%,0%,0%,0%
,Instructor conduct professional,5,5,0,4.8,4.6,4.5,100%,0%,0%,0%,0%
,,,,,,,,Effect,SW Effective,Neutral,SW Ineffective,Ineffect- ive
,Overall effectiveness of instructor's teaching technique,5,5,0,4.7,4.4,4.2,100%,0%,0%,0%,0%
,Overall demonstration of the significance of subject matter,5,5,0,4.8,4.5,4.4,100%,0%,0%,0%,0%
,,,,,,,,H Success,Success,Neutral,Unsuccess,H Unsuccess
,Instructor created an environment conducive to learning,5,5,0,4.7,4.5,4.3,100%,0%,0%,0%,0%
,,,,,,,,,,,,
Text Responses,,,,,,,,,,,,
Question: Comments:,,,,,,,,,,,,
This is my favorite class that I have taken at Kettering. ,,,,,,,,,,,,
My favorite class this term. I truly enjoyed having that creative freedom for our line.,,,,,,,,,,,,
I really enjoyed the class. It forces students to critically think and utilize all topics that are introduced. ,,,,,,,,,,,,
"Question: On average, how many hours per week have you spent on this course or section, including attending classes, doing readings, reviewing notes, writing papers, and any other course-related work?",,,,,,,,,,,,
5-6,,,,,,,,,,,,
4,,,,,,,,,,,,
3,,,,,,,,,,,,
8-12,,,,,,,,,,,,
Question: Please identify what you consider to be the strengths of the course (or section).,,,,,,,,,,,,
"Team based, with realistic goals and topics that have real world application",,,,,,,,,,,,
Hands-on learning experience,,,,,,,,,,,,
"The creative freedom we get, the peer evaluations, the WIP board, and the budget",,,,,,,,,,,,
Teamwork and creativity ,,,,,,,,,,,,
Question: Please identify area(s) where you think the course (or section) could be improved.,,,,,,,,,,,,
Only thing I can think of is to encourage students (especially in a manufacturing position) to take it sooner. ,,,,,,,,,,,,
N/A,,,,,,,,,,,,
I would do the time studies before the line freezes.,,,,,,,,,,,,
N/a,,,,,,,,,,,,
Question: Feedback for other students: What advice would you give to another student who is considering taking this course (or section)?,,,,,,,,,,,,
Stay ahead and work with your group,,,,,,,,,,,,
Working well within your group is the best way to succeed in the course,,,,,,,,,,,,
"Definitely take this class, not only do you learn about continuous improvement and lean ways to run a line, but you get to completely design one and learn to improve it week by week",,,,,,,,,,,,
Be prepared to collaborate and problem solve,,,,,,,,,,,,
Question: Comments about whether or not to recommend this course,,,,,,,,,,,,
N/A,,,,,,,,,,,,
"Very manufacturing specific but if anyone is interested in that field, I would recommend this class. ",,,,,,,,,,,,
I recommend ,,,,,,,,,,,,
Question: Comments:,,,,,,,,,,,,
"Some students just select strongly agree and hit submit. This is not one of those cases, rather simply the right answer. ",,,,,,,,,,,,
I love taking classes with Dr. Maier. He is in my opinion the best professor in the IME department.,,,,,,,,,,,,
Dr. Maier is a great professor who puts time and effort into his lessons. He creates an environment where learning new topics is hands on and engaging. I enjoyed having him as a professor ,,,,,,,,,,,,
