"Kettering University",,,,,,,,,,,,
"Spring 2025, IME 465 Human-Computr Interface Design Section 1",,,,,,,,,,,,
"Instructor: Maier, Torsten (Primary)",,,,,,,,,,,,
"There were: 16 possible respondents.",,,,,,,,,,,,
Order,Question Text,N,Avg,SD,MaierSpring 25,IME Avg,Div Avg,Str Agree,Agree,Neutral,Disagree,Str Disagree
,Course organized to help learning,10,4.1,0.9,4.5,4.4,4.2,40%,30%,30%,0%,0%
,Course developed abilities/skills for subject,10,4.2,0.6,4.6,4.4,4.3,30%,60%,10%,0%,0%
,Course developed ability to think critically,10,4.4,0.7,4.7,4.4,4.2,50%,40%,10%,0%,0%
,Material organized around learning outcomes,10,4,1.2,4.5,4.4,4.2,50%,10%,30%,10%,0%
,Course improved problem-solving skills,10,4.2,1.1,4.6,4.4,4.2,60%,10%,20%,10%,0%
,,,,,,,,Sat- isfied,SW Satisfied,Neutral,SW Unsatisfied,Unsatis- fied
,Satisfaction with effort in course,10,4.1,1.2,4.5,4.5,4.3,40%,50%,0%,0%,10%
,,,,,,,,Str Agree,Agree,Neutral,Disagree,Str Disagree
,Instructor presented organized content,10,4.4,1,4.7,4.4,4.3,60%,30%,0%,10%,0%
,Instructor increased understanding of material,10,4.4,1,4.7,4.4,4.3,60%,30%,0%,10%,0%
,Instructor helpful to student individually,10,4.8,0.4,4.9,4.4,4.2,80%,20%,0%,0%,0%
,Instructor provided meaningful feedback,10,4.4,1.3,4.7,4.3,4.2,70%,20%,0%,0%,10%
,Instructor provided timely feedback,10,4.9,0.3,4.9,4.4,4.3,90%,10%,0%,0%,0%
,Instructor encouraged participation,10,4.9,0.3,4.9,4.5,4.4,90%,10%,0%,0%,0%
,Instructor conduct professional,10,4.6,1,4.8,4.6,4.5,80%,10%,0%,10%,0%
,,,,,,,,Effect,SW Effective,Neutral,SW Ineffective,Ineffect- ive
,Overall effectiveness of instructor's teaching technique,10,4.4,1.3,4.7,4.4,4.2,80%,0%,10%,0%,10%
,Overall demonstration of the significance of subject matter,10,4.6,0.7,4.8,4.5,4.4,70%,20%,10%,0%,0%
,,,,,,,,H Success,Success,Neutral,Unsuccess,H Unsuccess
,Instructor created an environment conducive to learning,10,4.5,1.3,4.7,4.5,4.3,80%,10%,0%,0%,10%
,,,,,,,,,,,,
Text Responses,,,,,,,,,,,,
Question: Comments:,,,,,,,,,,,,
"Great course overall, assuming you have a good group for the project ",,,,,,,,,,,,
The content taught in class did not always seem to be relevant to the project of redesigning the MyKettering website. It felt like the class should have just focused on one or the other.,,,,,,,,,,,,
"I felt as though the course was more of a capstone class, and we were doing more writing of our reports rather than honing in on key areas of HCI and developing those skills further.",,,,,,,,,,,,
"The course pivoted half-way through the term into something that I think was different from what most students expected. But in a way this is the most realistic class, as doing custom work for clients and suppliers often times results in goals being shifted and targets are constantly changing. ",,,,,,,,,,,,
I felt the course could have included more lectures/case studies to drive home more of the actual interface design,,,,,,,,,,,,
"I didn't know what to expect from this class at first. Now that it's over, I can say that I definitely learned about intuitiveness, heuristic, and gestalt principles, but I fail to make the connection to the real world and don't really know how I would use this new knowledge at work besides designing presentations",,,,,,,,,,,,
I really liked the class and hope the project can findings will be implemented ,,,,,,,,,,,,
"Question: On average, how many hours per week have you spent on this course or section, including attending classes, doing readings, reviewing notes, writing papers, and any other course-related work?",,,,,,,,,,,,
6-8 hrs,,,,,,,,,,,,
8-10,,,,,,,,,,,,
8-10 hours ,,,,,,,,,,,,
7-8,,,,,,,,,,,,
8-10,,,,,,,,,,,,
4-6,,,,,,,,,,,,
12-14,,,,,,,,,,,,
~8,,,,,,,,,,,,
9-10,,,,,,,,,,,,
Question: Please identify what you consider to be the strengths of the course (or section).,,,,,,,,,,,,
Very well structured and expectations are clear,,,,,,,,,,,,
The strengths of this course are learning useful interactive tools and strategies such as low-fidelity prototyping or Figma.,,,,,,,,,,,,
"Groupwork, hands-on work, and report writing. I really enjoyed the guest lectures at the end of the term.",,,,,,,,,,,,
"It is an interesting and sometimes overlooked field. I don't know if this was class specific or not, but the guest lecturers at the end were very enjoyable. ",,,,,,,,,,,,
I think the course does a good job at introducing a more specialized topic to students and expand their potential horizon of interest and growth. Guest lectures made it nice to speak to people who are working in this field and be open to discussion about alternative/non-traditional job roles in the market.,,,,,,,,,,,,
"Get to see the full timeline of survey, interviews, low-fidelity, and medium fidelity reports in such a way where the project develops overtime to get a meaningful end result",,,,,,,,,,,,
Develops teamwork,,,,,,,,,,,,
Being able to work in groups makes it so that we can divide the work depending on peoples strengths.,,,,,,,,,,,,
The project,,,,,,,,,,,,
Question: Please identify area(s) where you think the course (or section) could be improved.,,,,,,,,,,,,
Maybe find a way to make it a little less dependent on the group work portion just in case students get stuck with a bad group. ,,,,,,,,,,,,
"Having to work with a random group was not very enjoyable since I believe that I would be able to work better with my group if I had the option to choose them. I also did not enjoy very much having a required team meeting outside of class time each week, since the only time everyone in the group could fit in their schedule was not especially convenient.",,,,,,,,,,,,
"Smaller, more personal assignments for homework, almost like a case study that is assigned for 2-3 weeks rather than a term-long project. ",,,,,,,,,,,,
N/A it is very dependant on the client/professor,,,,,,,,,,,,
